Núm.,Institución,ISI                                                                                                  (Documentos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Producción Institucional,,,,,,,,Análisis por autor,,,,,,,,,,,,,,,,,,,,Colaboraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Totales,,,Totales,,,Totales,,,Totales,,,Nacional,,,Nacional,,,Nacional,,,Nacional,,,Internacional,,,Internacional,,,Internacional,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,SCI,,SSCI,,AHCI,,Total,,,Total,,SCI,,,SCI,,SSCI,,,SSCI,,AHCI,,,AHCI,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,,,SCI,,,,,SSCI,,,,,AHCI,,,,,,,
,,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,,,
,Total*,18366,100,17193,100,2012,100,311,100,18366,100,100,63751,100,17193,100,100,61812,100,2012,100,100,2905,100,311,100,100,328,100,7623,100,41.5,7362,100,42.8,623,100,31,33,100,10.6,7596,100,41.4,7337,100,42.7,621,100,30.9,32,100,10.3,32,100,0.2,30,100,0.2,4,100,0.2,1,100,0.3,9157,100,49.86,35452,3.9,8849,100,51.47,34798,3.9,842,100,41.85,3368,4,34,100,10.93,65,1.9,,,
,Selección**,13997,76.21,13193,76.73,636,31.61,168,54.02,12111,65.94,86.53,41292,64.75,11373,66.15,86.2,40189,65.04,1107,55.02,174.06,1412,48.63,230,73.95,136.9,236,71.87,894,154.6,10098.8,11488,156.3,10029.91,741,118.3,11017.1,48,145.4,8265.09,11790,155.3,10121.74,11486,156.8,10051.99,741,119.2,11052.75,48,149.9,8505.83,6,18.6,700,6,19.8,700,3,75,4200,0,0,0,9875,107.8,5565.44,35722,4517.95,9653,109.3,5532.58,35312,4528.21,633,75.7,5088.2,2050,3200,34,99.9,4427.72,64,957.89,,,
1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,5046,27.5,4796,27.9,406,20.2,114,36.7,3631,19.8,71.96,9917,15.56,3412,19.8,71.14,9630,15.58,309,15.4,76.11,360,12.39,104,33.4,91.23,104,31.71,2454,32.2,48.6,2393,32.5,49.9,178,28.6,43.8,16,48.5,14,2454,32.3,48.6,2393,32.6,49.9,178,28.7,43.8,16,50,14,1,3.1,0,1,3.3,0,1,25,0.2,0,0,0,2769,30.2,54.88,10451,3.8,2723,30.8,56.78,10367,3.8,186,22.1,45.81,521,2.8,18,52.9,15.79,40,2.2,,,
2,INSTITUTO POLITECNICO NACIONAL,2058,11.2,2029,11.8,67,3.3,3,1,1357,7.4,65.94,4126,6.47,1334,7.8,65.75,4084,6.61,49,2.4,73.13,65,2.24,2,0.6,66.67,0,0,1364,17.9,66.3,1356,18.4,66.8,31,5,46.3,2,6.1,66.7,1364,18,66.3,1356,18.5,66.8,31,5,46.3,2,6.3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,1132,12.4,55,4102,3.6,1123,12.7,55.35,4082,3.6,30,3.6,44.78,106,3.5,2,5.9,66.67,4,2,,,
3,UNIVERSIDAD AUTONOMA DE NUEVO LEON,871,4.7,829,4.8,85,4.2,0,0,621,3.4,71.3,2069,3.25,589,3.4,71.05,1977,3.2,64,3.2,75.29,119,4.1,0,0,0,0,0,451,5.9,51.8,433,5.9,52.2,37,5.9,43.5,0,0,0,451,5.9,51.8,433,5.9,52.2,37,6,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,4.3,45.01,1159,3,386,4.4,46.56,1150,3,29,3.4,34.12,52,1.8,0,0,0,0,0,,,
4,UNIVERSIDAD AUTONOMA METROPOLITANA,860,4.7,817,4.8,68,3.4,20,6.4,490,2.7,56.98,1488,2.33,454,2.6,55.57,1445,2.34,41,2,60.29,60,2.07,20,6.4,100,17,5.18,586,7.7,68.1,574,7.8,70.3,37,5.9,54.4,0,0,0,586,7.7,68.1,574,7.8,70.3,37,6,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,4.7,50.47,2079,4.8,429,4.8,52.51,2069,4.8,28,3.3,41.18,536,19.1,0,0,0,0,0,,,
5,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,817,4.4,800,4.7,36,1.8,7,2.3,472,2.6,57.77,1844,2.89,462,2.7,57.75,1822,2.95,24,1.2,66.67,33,1.14,4,1.3,57.14,4,1.22,537,7,65.7,527,7.2,65.9,24,3.9,66.7,3,9.1,42.9,537,7.1,65.7,527,7.2,65.9,24,3.9,66.7,3,9.4,42.9,0,0,0,0,0,0,0,0,0,0,0,0,482,5.3,59,1623,3.4,477,5.4,59.63,1615,3.4,17,2,47.22,39,2.3,2,5.9,28.57,3,1.5,,,
