Núm.,Institución,SNI,,,,,ISI                                                                                                  (Artículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Nivel 3,Nivel 2,Nivel 1,Candidatos,Producción Institucional,,,,Análisis por autor,,,,,,,,Colaboraciones,,,,,,,,,,,,Citas,,,,,,,,
,,,,,,,,,,,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Primeros autores,Autorías por institución,Totales,Totales,Totales,Totales,Nacional,Nacional,Nacional,Nacional,Internacional,Internacional,Internacional,Internacional,,,,,,,,,
,,Total,Total,Total,Total,Total,Total,SCI,SSCI,AHCI,Total,Total,SCI,SCI,SSCI,SSCI,AHCI,AHCI,Total,SCI,SSCI,AHCI,Total,SCI,SSCI,AHCI,Total,SCI,SSCI,AHCI,Total,,SCI,,SSCI,,AHCI,,
,,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,Núm.,
,Total*,0,0,0,0,0,14749,13857,1566,187,14749,53201,13857,51608,1566,2379,187,226,6479,6250,514,31,6458,6231,512,30,23,21,3,1,8183,30785,7903,30179,750,3004,32,63,
,Selección**,19023,1690,3158,10396,3779,11785,11164,524,97,10238,35892,9676,34979,905,1204,137,164,5879,10156,653,46,10430,10155,653,46,3,3,2,0,8983,31849,8779,31466,562,1761,33,63,
1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,4598,810,1131,2019,638,4303,4124,333,73,3072,8594,2920,8370,248,299,64,71,2126,2072,154,15,2126,2072,154,15,1,1,1,0,2506,9172,2466,9096,162,372,17,39,
2,INSTITUTO POLITECNICO NACIONAL,1200,59,195,746,200,1825,1799,59,3,1202,3654,1182,3617,43,57,2,0,1227,1219,27,2,1227,1219,27,2,0,0,0,0,1030,3734,1021,3714,27,101,2,4,
3,UNIVERSIDAD AUTONOMA METROPOLITANA,1170,130,237,636,167,754,724,60,10,431,1326,408,1294,35,57,10,8,521,510,33,0,521,510,33,0,0,0,0,0,395,1939,390,1929,26,525,0,0,
4,UNIVERSIDAD DE GUADALAJARA,1060,42,131,645,242,591,553,85,4,365,1137,334,1079,62,89,4,2,392,378,49,0,392,378,49,0,0,0,0,0,280,925,270,911,27,67,0,0,
5,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,809,197,208,298,106,715,700,28,6,404,1634,396,1614,19,29,3,3,484,474,20,3,484,474,20,3,0,0,0,0,440,1491,436,1485,12,23,2,3,
6,UNIVERSIDAD AUTONOMA DE NUEVO LEON,762,28,92,480,162,638,600,72,0,437,1441,407,1366,54,94,0,0,365,350,31,0,365,350,31,0,0,0,0,0,334,961,329,953,25,40,0,0,
7,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,639,45,95,372,127,607,590,20,8,318,1647,306,1616,11,17,6,19,448,438,11,5,448,438,11,5,0,0,0,0,403,2007,399,2002,8,13,2,2,
8,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,519,7,51,345,116,403,389,28,3,256,820,245,808,16,17,3,4,298,292,18,1,298,292,18,1,0,0,0,0,184,585,180,578,15,41,1,4,
9,UNIVERSIDAD DE GUANAJUATO,506,21,64,286,135,409,395,20,3,288,908,277,891,11,18,3,3,218,213,11,0,218,213,11,0,0,0,0,0,257,851,256,850,7,17,0,0,
10,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,497,37,61,289,110,505,492,24,4,274,1338,264,1317,18,28,3,3,360,354,13,3,360,354,13,3,0,0,0,0,302,1577,299,1571,7,12,2,3,
11,SISTEMA INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,475,19,62,245,149,530,480,76,9,418,1241,369,1177,70,88,9,10,208,203,15,0,208,203,15,0,0,0,0,0,342,1201,320,1162,45,126,0,0,
12,UNIVERSIDAD VERACRUZANA,471,17,51,291,112,283,275,32,1,162,450,155,436,24,22,1,1,212,209,18,0,212,209,18,0,0,0,0,0,144,382,142,380,14,26,0,0,
13,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,392,14,45,220,113,297,280,41,2,178,611,165,596,26,32,1,2,205,196,27,1,205,196,27,1,0,0,0,0,151,394,144,380,15,25,0,0,
14,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,370,15,71,226,58,322,319,12,0,182,732,180,725,7,11,0,0,220,218,6,0,220,218,6,0,0,0,0,0,184,629,183,628,4,9,0,0,
15,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,354,25,61,197,71,310,304,18,1,154,579,151,573,6,10,1,1,233,230,14,0,233,230,14,0,1,1,1,0,168,363,166,360,8,12,0,0,
